"product_category_name","orders_in_category","avg_review_score"
"cds_dvds_musicals","12","4.67"
"fashion_childrens_clothes","8","4.50"
"books_general_interest","508","4.46"
"costruction_tools_tools","94","4.43"
"books_technical","257","4.40"
"flowers","28","4.39"
"food_drink","226","4.38"
"luggage_accessories","1030","4.33"
"books_imported","53","4.32"
"small_appliances_home_oven_and_coffee","75","4.29"
"food","445","4.28"
"fashion_sport","27","4.26"
"la_cuisine","12","4.25"
"stationery","2295","4.24"
"pet_shop","1701","4.24"
"cine_photo","65","4.23"
"fashion_shoes","236","4.22"
"music","38","4.21"
"perfumery","3150","4.20"
"fashion_bags_accessories","1854","4.19"
"industry_commerce_and_business","233","4.19"
"costruction_tools_garden","194","4.19"
"toys","3853","4.19"
"health_beauty","8771","4.18"
"musical_instruments","622","4.18"
"computers","178","4.17"
"arts_and_craftmanship","23","4.17"
"sports_leisure","7669","4.17"
"cool_stuff","3599","4.17"
"small_appliances","624","4.17"
"tablets_printing_image","77","4.16"
"home_appliances","761","4.16"
"drinks","296","4.16"
"housewares","5843","4.14"
"garden_tools","3496","4.14"
"furniture_bedroom","95","4.13"
"home_appliances_2","232","4.13"
"construction_tools_lights","241","4.12"
"signaling_and_security","138","4.11"
"electronics","2531","4.10"
"dvds_blu_ray","58","4.09"
"auto","3877","4.09"
"construction_tools_construction","743","4.08"
"watches_gifts","5576","4.07"
"consoles_games","1052","4.07"
"christmas_supplies","126","4.06"
"kitchen_dining_laundry_garden_furniture","246","4.05"
"baby","2861","4.04"
"computers_accessories","6649","4.03"
"air_conditioning","249","4.03"
"market_place","278","4.03"
"art","200","4.03"
"furniture_living_room","417","4.03"
"agro_industry_and_commerce","182","4.02"
"furniture_decor","6398","4.01"
"party_supplies","39","4.00"
"telephony","4168","4.00"
"bed_bath_table","9313","3.97"
"home_construction","487","3.97"
"fashion_underwear_beach","120","3.93"
"fixed_telephony","214","3.90"
"home_confort","395","3.86"
"construction_tools_safety","166","3.85"
"home_comfort_2","23","3.83"
"audio","347","3.83"
"furniture_mattress_and_upholstery","38","3.82"
"diapers_and_hygiene","27","3.74"
"fashio_female_clothing","39","3.73"
"fashion_male_clothing","111","3.70"
"office_furniture","1263","3.62"
"portateis_cozinha_e_preparadores_de_alimentos","14","3.43"
NULL,"2195","3.16"
"pc_gamer","8","3.13"
"security_and_services","2","2.50"
