"seller_city","num_sellers","num_orders","avg_review","avg_one_star_rate","avg_delivery_lead_time","num_late_deliveries","avg_late_delivery_rate"
"ALFENAS","2","64","4.08","0.54","15.02","4","0.06"
"ALVARES MACHADO","1","6","4.00","0.00","7.92","0","0.00"
"ALVORADA","1","7","4.00","0.14","6.70","0","0.00"
"AMERICANA","10","99","4.40","0.17","16.18","12","0.12"
"AMPARO","5","92","3.96","0.08","8.95","11","0.12"
"AMPERE","1","21","4.71","0.00","11.93","0","0.00"
"ANAPOLIS","3","28","4.47","0.17","15.04","1","0.04"
"ANDRADAS","2","55","4.20","0.11","14.87","3","0.06"
"APARECIDA","1","39","4.32","0.03","13.20","2","0.05"
"APARECIDA DE GOIANIA","1","67","4.42","0.07","15.02","1","0.02"
"APERIBE","1","18","4.29","0.00","13.72","1","0.06"
"APUCARANA","8","118","4.43","0.09","12.45","6","0.05"
"ARACATUBA","5","73","4.04","0.06","15.19","3","0.04"
"ARAGUARI","4","478","4.27","0.32","14.69","25","0.05"
"ARAPONGAS","10","132","4.03","0.26","12.63","10","0.08"
"ARARAQUARA","11","225","4.21","0.09","12.25","17","0.08"
"ARARAS","4","48","4.15","0.06","8.98","5","0.10"
"ARAUCARIA","2","27","4.00","0.20","11.36","3","0.11"
"ARINOS","1","9","3.89","0.00","11.93","1","0.11"
"ARTUR NOGUEIRA","3","23","3.70","0.55","12.23","2","0.11"
"ARUJA","3","32","3.66","0.20","11.27","1","0.04"
"ARVOREZINHA","1","22","4.59","0.00","11.82","1","0.05"
"ASSIS","8","286","4.18","0.12","12.61","15","0.05"
"ATIBAIA","11","600","4.08","0.04","9.77","62","0.11"
"AURIFLAMA","2","13","4.47","0.00","7.44","0","0.00"
"BADY BASSITT","2","19","3.00","0.27","16.41","2","0.14"
"BAEPENDI","2","179","4.18","0.10","14.25","11","0.06"
"BARIRI","2","32","3.62","0.27","10.32","2","0.07"
"BARRA DO JACARE","1","32","4.00","0.13","12.37","3","0.10"
"BARRA MANSA","4","27","3.59","0.16","13.55","2","0.08"
"BARRETOS","4","49","3.88","0.11","15.88","7","0.15"
"BARUERI","13","462","4.15","0.14","10.42","29","0.07"
"BATATAIS","3","59","4.28","0.04","13.93","4","0.07"
"BAURU","14","161","4.13","0.28","11.40","9","0.06"
"BEBEDOURO","1","127","4.12","0.09","14.69","12","0.10"
"BELO HORIZONTE","70","2425","4.21","0.13","11.90","113","0.05"
"BENTO GONCALVES","2","29","4.34","0.07","11.66","4","0.14"
"BERTIOGA","1","59","4.15","0.07","11.10","1","0.02"
"BETIM","5","271","4.14","0.07","9.15","5","0.02"
"BIRIGUI","10","99","4.34","0.07","11.06","4","0.04"
"BLUMENAU","21","425","4.27","0.13","10.63","9","0.02"
"BOCAIUVA DO SUL","1","11","3.90","0.20","10.65","0","0.00"
"BOITUVA","3","17","3.94","0.38","10.99","1","0.06"
"BOMBINHAS","1","94","3.88","0.18","18.88","11","0.12"
"BORDA DA MATA","4","471","4.20","0.08","11.29","13","0.03"
"BOTUCATU","4","87","4.21","0.09","11.28","7","0.08"
"BRACO DO NORTE","1","19","4.21","0.05","8.45","0","0.00"
"BRAGANCA PAULISTA","6","93","4.17","0.22","15.01","9","0.10"
"BRASILIA","17","299","4.23","0.19","12.33","23","0.08"
"BREJAO","1","35","4.46","0.06","11.62","0","0.00"
"BRUSQUE","10","323","3.68","0.12","13.02","20","0.06"
"BURITAMA","1","12","4.67","0.00","10.74","0","0.00"
"CACHOEIRINHA","3","64","4.25","0.05","10.28","3","0.05"
"CACHOEIRO DE ITAPEMIRIM","4","13","4.23","0.00","11.11","2","0.15"
"CAFELANDIA","2","39","4.13","0.15","14.34","3","0.08"
"CAJAMAR","2","199","4.45","0.03","7.10","13","0.07"
"CALIFORNIA","1","6","3.67","0.00","10.38","0","0.00"
"CAMANDUCAIA","1","10","4.30","0.10","7.59","0","0.00"
"CAMBE","3","6","2.67","0.75","10.20","0","0.00"
"CAMBORIU","5","32","4.31","0.05","14.86","6","0.19"
"CAMPINA DAS MISSOES","1","11","3.36","0.27","15.41","1","0.09"
"CAMPINAS","41","1294","3.95","0.24","13.48","89","0.07"
"CAMPO BOM","2","20","4.30","0.09","14.04","1","0.05"
"CAMPO DO MEIO","2","18","4.39","0.03","10.66","0","0.00"
"CAMPO GRANDE","4","32","4.63","0.05","9.97","1","0.03"
"CAMPO LARGO","3","74","4.42","0.14","14.50","4","0.05"
"CAMPO LIMPO PAULISTA","2","1128","4.15","0.12","12.03","64","0.06"
"CAMPO MOURAO","1","54","4.52","0.04","13.18","1","0.02"
"CAMPOS DOS GOYTACAZES","2","13","4.53","0.00","6.04","0","0.00"
"CANANEIA","1","12","4.42","0.00","14.24","1","0.08"
"CANOAS","9","168","4.43","0.13","10.48","3","0.02"
"CANOINHAS","2","128","4.27","0.04","13.85","6","0.05"
"CAPIVARI","4","160","4.01","0.10","10.79","13","0.08"
"CARAPICUIBA","11","201","4.32","0.15","9.69","16","0.08"
"CARAZINHO","3","54","4.31","0.04","12.40","1","0.02"
"CARIACICA","3","206","4.01","0.04","14.38","13","0.06"
"CARMO DO CAJURU","1","8","4.38","0.00","16.07","0","0.00"
"CARUARU","2","7","4.00","0.09","13.41","0","0.00"
"CASCAVEL","15","503","4.03","0.14","11.31","30","0.06"
"CASTRO","2","19","3.88","0.20","16.92","0","0.00"
"CATANDUVA","10","41","4.27","0.01","13.08","1","0.02"
