"seller_state","num_sellers","num_orders","avg_review_score","avg_one_star_rate","avg_delivery_lead_time","num_late_deliveries","avg_late_delivery_rate"
"BA","20","572","4.11","0.18","16.35","33","0.06"
"CE","13","91","4.14","0.26","19.54","8","0.09"
"DF","29","789","4.05","0.16","12.24","47","0.06"
"ES","24","319","4.07","0.09","12.47","22","0.07"
"GO","40","463","4.31","0.11","14.45","18","0.04"
"MA","1","392","3.99","0.14","17.73","90","0.23"
"MG","249","8057","4.17","0.13","12.66","433","0.06"
"MT","4","137","4.18","0.06","14.28","6","0.04"
"PE","9","406","4.24","0.15","13.37","18","0.04"
"PR","359","7817","4.12","0.13","12.22","493","0.06"
"RJ","176","4500","4.15","0.16","11.70","365","0.08"
"RS","131","1995","4.29","0.13","13.34","84","0.04"
"SC","197","3836","4.14","0.13","12.82","216","0.06"
"SP","1814","70243","4.06","0.15","11.85","5978","0.09"
NULL,"7","220","4.11","0.20","14.85","21","0.10"
