"date_key","month_year","orders_total","avg_review_score","orders_reviewed","orders_delivered","avg_delivery_lead_time","late_deliveries","late_delivery_rate","orders_not_delivered","not_delivered_rate","num_data_errors"
"2016-09-01 00:00:00+00","09/2016","4","1.00","4","1","54.81","1","1.00","3","0.75","0"
"2016-10-01 00:00:00+00","10/2016","326","3.57","321","272","19.56","3","0.01","54","0.17","0"
"2016-12-01 00:00:00+00","12/2016","1","5.00","1","1","4.69","0","0.00","0","0.00","0"
"2017-01-01 00:00:00+00","01/2017","807","4.07","797","757","12.64","23","0.03","50","0.06","0"
"2017-02-01 00:00:00+00","02/2017","1788","4.02","1776","1661","13.15","53","0.03","127","0.07","0"
"2017-03-01 00:00:00+00","03/2017","2697","4.07","2676","2561","12.94","142","0.06","136","0.05","0"
"2017-04-01 00:00:00+00","04/2017","2411","4.04","2394","2309","14.91","182","0.08","102","0.04","0"
"2017-05-01 00:00:00+00","05/2017","3737","4.14","3703","3581","11.33","128","0.04","155","0.04","1"
"2017-06-01 00:00:00+00","06/2017","3277","4.15","3250","3166","12.00","122","0.04","111","0.03","0"
"2017-07-01 00:00:00+00","07/2017","4068","4.17","4032","3912","11.59","136","0.03","156","0.04","0"
"2017-08-01 00:00:00+00","08/2017","4374","4.24","4341","4235","11.17","141","0.03","139","0.03","0"
"2017-09-01 00:00:00+00","09/2017","4311","4.19","4277","4176","11.84","216","0.05","135","0.03","0"
"2017-10-01 00:00:00+00","10/2017","4664","4.12","4626","4506","11.86","237","0.05","158","0.03","0"
"2017-11-01 00:00:00+00","11/2017","7598","3.91","7534","7340","15.15","1049","0.14","257","0.03","1"
"2017-12-01 00:00:00+00","12/2017","5699","4.02","5638","5539","15.40","464","0.08","160","0.03","0"
"2018-01-01 00:00:00+00","01/2018","7313","4.04","7245","7109","14.09","466","0.07","204","0.03","0"
"2018-02-01 00:00:00+00","02/2018","6814","3.83","6758","6640","16.96","1062","0.16","174","0.03","0"
"2018-03-01 00:00:00+00","03/2018","7250","3.75","7187","7041","16.30","1503","0.21","209","0.03","0"
"2018-04-01 00:00:00+00","04/2018","6950","4.16","6894","6809","11.50","362","0.05","141","0.02","0"
"2018-05-01 00:00:00+00","05/2018","6882","4.19","6848","6757","11.41","556","0.08","125","0.02","0"
"2018-06-01 00:00:00+00","06/2018","6173","4.28","6147","6102","9.24","83","0.01","68","0.01","3"
"2018-07-01 00:00:00+00","07/2018","6314","4.26","6269","6177","8.96","276","0.04","134","0.02","3"
"2018-08-01 00:00:00+00","08/2018","6514","4.26","6487","6353","7.73","661","0.10","161","0.02","0"
"2018-09-01 00:00:00+00","09/2018","16","1.80","15","0",NULL,"0",NULL,"16","1.00","0"
"2018-10-01 00:00:00+00","10/2018","4","2.25","4","0",NULL,"0",NULL,"4","1.00","0"
